ioc_species,english_common,note,present_in_birdnet
Platalea regia,Royal Spoonbill,Common SE Australian wetlands; on Lake Alexandrina/Tolderol lists; absent from BirdNETAllBirdList.csv,False
Platalea flavipes,Yellow-billed Spoonbill,Common SE Australian wetlands; on Lake Alexandrina/Tolderol lists; absent from BirdNETAllBirdList.csv,False
